Question,Marking Scheme,Student Response,Answer Rating
Explain two factors that influence the size of a firm,"if demand is low, the size of the firm is likely to be small. a small firm may want to expand but may not be able to obtain a loan a public limited company is likely to be larger than a sole trader as it has more sources of Finance an entrepreneur may choose to keep the firm small in order to keep control/reduce stress.","Capital requirement: A company with high capital will be larger while a company with small capital will be smaller. Market size: When the market is big, the firm ought to be large as well and when market is small, the firm will be small",2
Explain two factors that influence the size of a firm,"if demand is low, the size of the firm is likely to be small. a small firm may want to expand but may not be able to obtain a loan a public limited company is likely to be larger than a sole trader as it has more sources of Finance an entrepreneur may choose to keep the firm small in order to keep control/reduce stress.","Capital Requirement: When a company and product requires huge investment, this impacts size of the firm that will be set up. Capital intensive firms are usually much larger than less capital intensive firms. Market size: When a products market is large, this affects the type of firm that will be set up to meet demands of the consumers or customers and vice versa.",3
Explain two factors that influence the size of a firm,"if demand is low, the size of the firm is likely to be small. a small firm may want to expand but may not be able to obtain a loan a public limited company is likely to be larger than a sole trader as it has more sources of Finance an entrepreneur may choose to keep the firm small in order to keep control/reduce stress.","With high capital, a company size will be bigger while with small capital, the size of company will be smaller. In addition, the bigger the market, the bigger the size of the firm.",1
  What is the difference between absolute poverty and relative poverty?,"Absolute poverty involves a lack of basic necessities including food, housing and clothing. Relative poverty occurs when people have less income than other people in the country/unable to participate fully in the normal activities of their society","Absolute poverty refers to a condition where a person or household does not have minimum living requirement- food, housing and clothing- over an extended period of time. While Relative poverty refers to a condition where an individual or household is unable to partake in activities in the society due to income lower than general populace",3
 What is the difference between absolute poverty and relative poverty?,"Absolute poverty involves a lack of basic necessities including food, housing and clothing. Relative poverty occurs when people have less income than other people in the country/unable to participate fully in the normal activities of their society",Absolute poverty is the worst type of poverty in the society while relative poverty on the other hand is much better than absolute poverty.,1
What is the difference between absolute poverty and relative poverty?,"Absolute poverty involves a lack of basic necessities including food, housing and clothing. Relative poverty occurs when people have less income than other people in the country/unable to participate fully in the normal activities of their society","Absolute poverty means when an individual cannot afford food, clothes housing etc while relative poverty means when an individual cannot live like every other member of the society",2
Explain two economic advantages of a fall in unemployment,more people in work will enable more products to be produced – might include a PPC with a movement from inside to on the curve more people in work will reduce those without an earned income and will raise tax revenue that might be spent on measures to reduce poverty extra tax revenue might be spent on a range of items including infrastructure and may reduce a budget deficit  less government spending on benefits might enable a government to cut tax rates or raise spending on another area.,"When people are less employed they can now produce more together. Due to less unemployment, the government worries less on certain payments which reduce burden.",2
Explain two economic advantages of a fall in unemployment,more people in work will enable more products to be produced – might include a PPC with a movement from inside to on the curve more people in work will reduce those without an earned income and will raise tax revenue that might be spent on measures to reduce poverty extra tax revenue might be spent on a range of items including infrastructure and may reduce a budget deficit  less government spending on benefits might enable a government to cut tax rates or raise spending on another area.,"When unemployment reduces, there is increase in total production.When unemployment falls, government worries less on some money spent in the economy.",1
Explain two economic advantages of a fall in unemployment,more people in work will enable more products to be produced – might include a PPC with a movement from inside to on the curve more people in work will reduce those without an earned income and will raise tax revenue that might be spent on measures to reduce poverty extra tax revenue might be spent on a range of items including infrastructure and may reduce a budget deficit  less government spending on benefits might enable a government to cut tax rates or raise spending on another area.," Increased Output: When there is less unemployment, there is more labour force to work on production process which increase output. Reduce Government Spending Burden: Government does not pay for unemployment benefit and this reduces government burden.",3
Analyze how fiscal policy may reduce unemployment.,A cut in taxes may increase consumer spending/investment and so increase demand for labour. A rise in government spending will increase total (aggregate) demand which will increase demand for labour. Government spending may create jobs directly in the public sector.,"Through increased spending by government, there is reduced unemployment and through tax cuts there is more spending on investment and consumption which reduce unemployment.",2
 Analyze how fiscal policy may reduce unemployment., A cut in taxes may increase consumer spending/investment and so increase demand for labour. A rise in government spending will increase total (aggregate) demand which will increase demand for labour. Government spending may create jobs directly in the public sector.,Increase in government spending and reducing tax rate reduce unemployment.,1
Analyze how fiscal policy may reduce unemployment.,A cut in taxes may increase consumer spending/investment and so increase demand for labour. A rise in government spending will increase total (aggregate) demand which will increase demand for labour. Government spending may create jobs directly in the public sector.,"Fiscal policy usually works through government spending and taxes. Through government spending on projects and activities, there is high demand for labour to meet up which reduces unemployment. Also, a fall in taxes rate help to increase spending and investment in the economy leading to more factories which lead to increased demand for labour.",3
Discuss whether economic growth always results in higher living standards.,"how extra income is distributed, what type of products are being produced, whether working hours are increasing, whether working conditions are improving, whether higher output is leading to pollution and other environmental, damage, what is happening to the size of the informal sector, whether additional income is spent or saved.","Economic growth usually tend to result in higher living standard depending of goods produced in the economy, how incomes are distributed between income classes and how extra income is being managed.",3
 Discuss whether economic growth always results in higher living standards.,"how extra income is distributed, what type of products are being produced, whether working hours are increasing, whether working conditions are improving, whether higher output is leading to pollution and other environmental, damage, what is happening to the size of the informal sector, whether additional income is spent or saved.",Economic growth leads to higher standard of living depending on how different sectors of the economy is doing and how income is shared.,2
Discuss whether economic growth always results in higher living standards.,"how extra income is distributed, what type of products are being produced, whether working hours are increasing, whether working conditions are improving, whether higher output is leading to pollution and other environmental, damage, what is happening to the size of the informal sector, whether additional income is spent or saved.",Economic growth will always lead to higher living standard in the economy because there is increased production and more income.,1
 Describe what is meant by a country’s inflation rate.,Percentage sustained rise in the price level/general price level over a given period of time ,Inflation rate is described as rate of change in prices from time to time,2
Describe what is meant by a country’s inflation rate.,Percentage sustained rise in the price level/general price level over a given period of time ,Inflation rate is described as rate of general increase in price level over a given period of time. ,3
 Describe what is meant by a country’s inflation rate.,Percentage sustained rise in the price level/general price level over a given period of time ,Inflation rate is the rate at which prices go up in the economy.,1
Explain the factors that influence a country’s birth rate,"average age of the population, proportion of women who work/enter higher education, age at which women marry, social status of women, cost of bringing up children, availability of family planning services, infant mortality rates, government encouragement or discouragement of large families, level of education, existence or absence of government support for sick and elderly, rate of unemployment.","Religious and social belief: Due to certain religious belief and social belief that exist in a country, people might be attracted to give birth to more children thereby affecting or increasing birth rate.Cost of bringing up children: When the cost of upbringing a child is expensive, people control how they give birth using controls which then reduce birth rate.Availability of family planning service: Presence or absence of family planning service helps to control the birth rate in the country.  ",3
Explain the factors that influence a country’s birth rate,"average age of the population, proportion of women who work/enter higher education, age at which women marry, social status of women, cost of bringing up children, availability of family planning services, infant mortality rates, government encouragement or discouragement of large families, level of education, existence or absence of government support for sick and elderly, rate of unemployment.","Birth rate can be affected due to poverty level in the country, employment level and social class in the society.",1
Explain the factors that influence a country’s birth rate,"average age of the population, proportion of women who work/enter higher education, age at which women marry, social status of women, cost of bringing up children, availability of family planning services, infant mortality rates, government encouragement or discouragement of large families, level of education, existence or absence of government support for sick and elderly, rate of unemployment.","Religious and social belief: Religious belief in the country can affect birth rate in the country. Cost of bringing up children: Higher cost of upbringing children leads to low birth rate in the country.Availability of family planning service: When there is family planning, birth rate is put under control. ",2
Discuss whether a country would benefit from lowering its school leaving age.,"would reduce the quality of the labour force/labour productivity, in the long run may decrease output, may discourage MNCs from setting up in the country, in the long run may reduce tax revenue, may reduce international competitiveness, may increase unemployment in older workers",The country benefit totally and citizens are able to sign up for job quicker than before,1
Discuss whether a country would benefit from lowering its school leaving age.,"would reduce the quality of the labour force/labour productivity, in the long run may decrease output, may discourage MNCs from setting up in the country, in the long run may reduce tax revenue, may reduce international competitiveness, may increase unemployment in older workers","A country benefit or loss can be looked at from short-run and long-run. In the short-run, the country gains from increased labour force and government also saves cost from this policy. In the long-run, quality of labour falls which might affect output.",3
Discuss whether a country would benefit from lowering its school leaving age.,"would reduce the quality of the labour force/labour productivity, in the long run may decrease output, may discourage MNCs from setting up in the country, in the long run may reduce tax revenue, may reduce international competitiveness, may increase unemployment in older workers",The country is able to able to save cost from the program and labour is increased during production process,2
"Describe two aims of government economic policy, other than balance of payments stability","a government will seek to achieve as low unemployment as possible to ensure it is, making best use of resources, price stability can create certainty and encourage investment, economic growth has the potential to raise living standards, a redistribution of income from the rich to the poor may reduce poverty",Government policies are usually to address issues of unemployment.Another reason is to redistribute income among the people in the country. ,2
"Describe two aims of government economic policy, other than balance of payments stability","a government will seek to achieve as low unemployment as possible to ensure it is, making best use of resources, price stability can create certainty and encourage investment, economic growth has the potential to raise living standards, a redistribution of income from the rich to the poor may reduce poverty",Government economic policy is usually to control of how people spend their money. Government policies also involve making people escape poverty in the society.,1
"Describe two aims of government economic policy, other than balance of payments stability","a government will seek to achieve as low unemployment as possible to ensure it is, making best use of resources, price stability can create certainty and encourage investment, economic growth has the potential to raise living standards, a redistribution of income from the rich to the poor may reduce poverty",One other major aim of government economic policy is to help reduce the level of unemployment in the country and labour force. Another important aim of government s to ensure that there is proper redistribution of income among the wealthy class to the poor so as to reduce poverty rate in the country,3
Explain why a country may have a trade in goods (visible trade) deficit but still have a current account surplus in its balance of payments,"Another component/components of the current account must have a surplus.  The surplus must be greater than the deficit on the trade in goods balance. Reference to another component/components i.e. trade in services (invisible balance), income and current transfers","Current account surplus will occur due to surplus contribution from invisible balance, income and current transfers",2
Explain why a country may have a trade in goods (visible trade) deficit but still have a current account surplus in its balance of payments,"Another component/components of the current account must have a surplus.  The surplus must be greater than the deficit on the trade in goods balance. Reference to another component/components i.e. trade in services (invisible balance), income and current transfers","Current account balance usually consist of goods and services balance, the investment income balance and net transfer balance. When surplus from other components of the current account exceeds goods and service deficit, there will still be current account surplus in the balance of payment.",3
Explain why a country may have a trade in goods (visible trade) deficit but still have a current account surplus in its balance of payments,"Another component/components of the current account must have a surplus.  The surplus must be greater than the deficit on the trade in goods balance. Reference to another component/components i.e. trade in services (invisible balance), income and current transfers",Current surplus will occur due to more invisible component of current account balance.,1
Analyze how a fall in a country’s exchange rate may reduce a current account deficit in its balance of payments,"Fall in the exchange rate will reduce export prices. Lower export prices may increase exports which may raise export revenue, fall in exchange rate will raise import prices, Higher import prices may reduce imports which may reduce import expenditure, Higher export revenue and lower import expenditure will improve the trade position.",Fall in exchange rate means the country currency has lost value so surplus might be hard to achieve.,1
Analyze how a fall in a country’s exchange rate may reduce a current account deficit in its balance of payments,"Fall in the exchange rate will reduce export prices. Lower export prices may increase exports which may raise export revenue, fall in exchange rate will raise import prices, Higher import prices may reduce imports which may reduce import expenditure, Higher export revenue and lower import expenditure will improve the trade position.","When there is fall in the exchange rate of the country, there is more demand for the country goods while less of goods will be imported.",2
Analyze how a fall in a country’s exchange rate may reduce a current account deficit in its balance of payments,"Fall in the exchange rate will reduce export prices. Lower export prices may increase exports which may raise export revenue, fall in exchange rate will raise import prices, Higher import prices may reduce imports which may reduce import expenditure, Higher export revenue and lower import expenditure will improve the trade position.","When there is fall in exchange rate of an economy, there is fall in foreign price of its exports. As exports become more competitive, there is an increase in quantity of goods exported which reduces deficit.",3
Discuss whether a government should protect its industries from foreign competition,"protect infant/sunrise industries, protect declining/sunset industries, protect strategic industries, improve current account position, protect employment, protect industries against unfair competition. reduce competition and so efficiency, reduce choice for consumers, may raise prices, may provoke retaliation.",Government should protect industries because it assists growing companies to settle and not be threatened by competition.Improves current account position by making more goods to be produced for necessary exports out of the company. Protecting industries may limit choice available to consumers in the market. Competition is also not encouraged which might reduce efficiency and development of products.,3
Discuss whether a government should protect its industries from foreign competition,"protect infant/sunrise industries, protect declining/sunset industries, protect strategic industries, improve current account position, protect employment, protect industries against unfair competition. reduce competition and so efficiency, reduce choice for consumers, may raise prices, may provoke retaliation.","Through protection, infant industries are protected. There is also improved current account.",2
Discuss whether a government should protect its industries from foreign competition,"protect infant/sunrise industries, protect declining/sunset industries, protect strategic industries, improve current account position, protect employment, protect industries against unfair competition. reduce competition and so efficiency, reduce choice for consumers, may raise prices, may provoke retaliation.","With government policies, people are protected and foreigners cannot take control.",1
 Identify two ways a government could encourage people to spend more.,"lower taxes, increase government spending / expansionary fiscal policy, increase money supply, reduce interest rates / expansionary monetary policy, raise subsidies",Monetary policy  Support Programs,1
 Identify two ways a government could encourage people to spend more.,"lower taxes, increase government spending / expansionary fiscal policy, increase money supply, reduce interest rates / expansionary monetary policy, raise subsidies","Important ways by which government can encourage people to spend more is by lowering tax rate, increasing government spending which stimulates people to spend more and by increasing money supply which makes more money stock available to people. ",3
 Identify two ways a government could encourage people to spend more.,"lower taxes, increase government spending / expansionary fiscal policy, increase money supply, reduce interest rates / expansionary monetary policy, raise subsidies","Tax cut ,Expansionary monetary policy",2
Explain how the economic problem results in people having to make choices,"The economic problem is unlimited wants  but limited resources. As resources are limited, people cannot have everything they want / not everything can be produced / there is scarcity there is an opportunity cost","Economic problem arise from unlimited wants with very limited resources. Due to scarcity of resources, people have to make choice due to limited resources to satisfy unsatiable wants",3
Explain how the economic problem results in people having to make choices,"The economic problem is unlimited wants  but limited resources. As resources are limited, people cannot have everything they want / not everything can be produced / there is scarcity there is an opportunity cost",Unlimited wants leads to people making choice due to their little resources at their disposal. ,2
Explain how the economic problem results in people having to make choices,"The economic problem is unlimited wants  but limited resources. As resources are limited, people cannot have everything they want / not everything can be produced / there is scarcity there is an opportunity cost",Scarcity makes people to make choice they will not like .,1
Analyse why deflation may cause a fall in output,"A fall in the price level may discourage spending / reduce total (aggregate) demand households waiting for prices to fall further the, fall in demand may reduce firms’ output, Deflation may reduce firms’ profits this may discourage investment, reduce demand for capital goods lower the output of capital goods","Due to fall in price, people wait and reduce their demand for the product which contribute to decrease in demand for such good. As demand falls, output also falls too",2
Analyse why deflation may cause a fall in output,"A fall in the price level may discourage spending / reduce total (aggregate) demand households waiting for prices to fall further the, fall in demand may reduce firms’ output, Deflation may reduce firms’ profits this may discourage investment, reduce demand for capital goods lower the output of capital goods","When there is fall in prices, peoples expectations of a further fall increases which may lead to decreased spending and demand due to anticipated decrease in price. As demand falls, firms are left to reduce total output they make which discourages investment spending and demand for capital goods. ",3
Analyse why deflation may cause a fall in output,"A fall in the price level may discourage spending / reduce total (aggregate) demand households waiting for prices to fall further the, fall in demand may reduce firms’ output, Deflation may reduce firms’ profits this may discourage investment, reduce demand for capital goods lower the output of capital goods","As general price level reduce, people choose to buy more of the goods which increased demand of such goods.",1
Explain two reasons why less-educated people tend to have a shorter life expectancy than people who have received more education,a lower income worse nutrition/healthcare/housing less well-informed less likely to eat healthily / more likely to have unhealthy habits ,Less educated people have shorter life expectancy because of bad healthcare habit and nutrition. Occupation less-educated people engage in is usually more intensive and risky than educated people.,3
Explain two reasons why less-educated people tend to have a shorter life expectancy than people who have received more education,a lower income worse nutrition/healthcare/housing less well-informed less likely to eat healthily / more likely to have unhealthy habits ,Less educated people have poverty and they expose themselves to bad things than educated people,1
Explain two reasons why less-educated people tend to have a shorter life expectancy than people who have received more education,a lower income worse nutrition/healthcare/housing less well-informed less likely to eat healthily / more likely to have unhealthy habits ,Less-educated people tend to be less careful about their lifestyle and they also engage in menial jobs that can expose their lives to risk.,2
Analyze how economic growth can reduce absolute poverty.,Economic growth is likely to increase employment (1) this may increase the chances of the poor gaining jobs raise income allow them to buy basic necessities / definition of absolute poverty. Economic growth can increase tax revenue this may enable the government to spend more to help the poor ,Through economic growth; there is possibility of employment opportunities which makes people gain incomes to satisfy basic needs of their life. Another way economic growth can reduce absolute poverty is through more tax revenue generation for government which enables support.,3
Analyze how economic growth can reduce absolute poverty.,Economic growth is likely to increase employment (1) this may increase the chances of the poor gaining jobs raise income allow them to buy basic necessities / definition of absolute poverty. Economic growth can increase tax revenue this may enable the government to spend more to help the poor ,Economic growth will lead to improve living standards which enables people to provide for their basic needs and less dependent on government.,2
Analyze how economic growth can reduce absolute poverty.,Economic growth is likely to increase employment (1) this may increase the chances of the poor gaining jobs raise income allow them to buy basic necessities / definition of absolute poverty. Economic growth can increase tax revenue this may enable the government to spend more to help the poor ,Economic growth will reduce all poverty in the country as the people now have much more money to spend in the economy.,1
Identify two fixed costs,"rent, interest on past loans, insurance, salaries",Fixed cost are cost of setting up and some expenses that are fixed ,1
Identify two fixed costs,"rent, interest on past loans, insurance, salaries","Fixed costs include depreciation, rent",2
Identify two fixed costs,"rent, interest on past loans, insurance, salaries","Example of fixed costs include New buildings, rent to be paid, interest on loans to be paid and salaries",3
Explain two ways monopoly differs from perfect competition,"one supplier in monopoly many suppliers in perfect competition, a monopoly has 100% share of the market one perfectly competitive, firm will have a small share of the market, barriers to entry and exit in monopoly free entry and exit in perfect competition, a monopoly is a price maker while a perfectly competitive firm is a price taker, a monopolist may advertise no advertising in perfect competition there may be brand loyalty in monopoly but no attachment between, buyers and sellers in perfect competition there are no substitutes in a monopoly there are perfect substitutes in perfect competition.","One way monopoly differs from perfect competition is that in monopoly there is just one supplier who controls market and price goods can be sold. While in perfect competition, there are many buyers and sellers and the market forces control market and determine price. Another way is that in monopoly, there is no free entry and exit of new players as barriers to entry exist while in perfect competition there is free entry and exit of players as no barrier to entry exist in the market.",3
Explain two ways monopoly differs from perfect competition,"one supplier in monopoly many suppliers in perfect competition, a monopoly has 100% share of the market one perfectly competitive, firm will have a small share of the market, barriers to entry and exit in monopoly free entry and exit in perfect competition, a monopoly is a price maker while a perfectly competitive firm is a price taker, a monopolist may advertise no advertising in perfect competition there may be brand loyalty in monopoly but no attachment between, buyers and sellers in perfect competition there are no substitutes in a monopoly there are perfect substitutes in perfect competition.",In monopoly only a supplier is involved while in perfect competition it is not like that,1
Explain two ways monopoly differs from perfect competition,"one supplier in monopoly many suppliers in perfect competition, a monopoly has 100% share of the market one perfectly competitive, firm will have a small share of the market, barriers to entry and exit in monopoly free entry and exit in perfect competition, a monopoly is a price maker while a perfectly competitive firm is a price taker, a monopolist may advertise no advertising in perfect competition there may be brand loyalty in monopoly but no attachment between, buyers and sellers in perfect competition there are no substitutes in a monopoly there are perfect substitutes in perfect competition.",There is only one supplier in monopoly and many sellers in perfect completion. No barrier to entry in perfect competition and there is barrier to entry in monopoly.,2
Analyze what determines a firm’s demand for labour,"Demand for the product demand for labour is a derived demand the higher the demand for the product, the more workers employed. Productivity / high skills / qualifications a rise in productivity will increase the return from employing labour / the higher skills the higher the demand, Wage rate a fall in the wage rate would be likely to increase the demand for labour. The price and productivity of substitutes to labour and complements to labour, Production method demand will be higher if production is labour intensive.","Demand for labour is usually determined by wage rate. The higher the wage rate, the lower the demand of labour that will be required. Another factor that determine demand for labour is marginal product of employing one more unit of labour. This enables the company to decide the optimal number of employees the company will require",3
Analyze what determines a firm’s demand for labour,"Demand for the product demand for labour is a derived demand the higher the demand for the product, the more workers employed. Productivity / high skills / qualifications a rise in productivity will increase the return from employing labour / the higher skills the higher the demand, Wage rate a fall in the wage rate would be likely to increase the demand for labour. The price and productivity of substitutes to labour and complements to labour, Production method demand will be higher if production is labour intensive.",Demand for labour is determined by forces of demand and supply in the labour market,1
Analyze what determines a firm’s demand for labour,"Demand for the product demand for labour is a derived demand the higher the demand for the product, the more workers employed. Productivity / high skills / qualifications a rise in productivity will increase the return from employing labour / the higher skills the higher the demand, Wage rate a fall in the wage rate would be likely to increase the demand for labour. The price and productivity of substitutes to labour and complements to labour, Production method demand will be higher if production is labour intensive.",Demand for labour is determined by wage rate and productivity of labour,2
Define social benefit.,"The total benefit to society of an economic activity or external benefit private benefit, A beneficial effect on society",Social benefit are benefits of the whole society and they aim to advance individuals living,2
Define social benefit.,"The total benefit to society of an economic activity or external benefit private benefit, A beneficial effect on society",Social benefit refers all private gains plus external advantage that accrue to the society at large.,3
Define social benefit.,"The total benefit to society of an economic activity or external benefit private benefit, A beneficial effect on society",Social benefits are benefits that are for the benefit of the public,1
Explain two advantages of conserving natural resources,"resources will last longer / decrease rate of depletion future generations will be able to benefit from the resources, economic growth / development may be more sustainable income may be generated over time / value may rise in the future, over use of natural resources may cause external costs, tourism may increase export revenue / employment",Advantages of conserving natural resources is that there is less rate of depletion or extinction of those natural resource. There is an avenue of extra revenue through tourism opportunities. ,3
Explain two advantages of conserving natural resources,"resources will last longer / decrease rate of depletion future generations will be able to benefit from the resources, economic growth / development may be more sustainable income may be generated over time / value may rise in the future, over use of natural resources may cause external costs, tourism may increase export revenue / employment",Conserving natural resources helps to increase income.  Conserving natural resources leads to greater development.,2
Explain two advantages of conserving natural resources,"resources will last longer / decrease rate of depletion future generations will be able to benefit from the resources, economic growth / development may be more sustainable income may be generated over time / value may rise in the future, over use of natural resources may cause external costs, tourism may increase export revenue / employment",Conservation of natural resources prevents poverty and encourage healthy lifestyle.,1
Analyze how taxation could reduce market failure,"Monopolies may be taxed if they exploit their market power by charging high prices, Production and consumption that generates external costs may be taxed, this will turn an external cost into a private cost, increase costs of production reduce output, Tax revenue can be used to subsidise products with external benefits ","Through taxes, gains are redistributed to other members of the society and market failure is addressed",2
Analyze how taxation could reduce market failure,"Monopolies may be taxed if they exploit their market power by charging high prices, Production and consumption that generates external costs may be taxed, this will turn an external cost into a private cost, increase costs of production reduce output, Tax revenue can be used to subsidise products with external benefits ",Taxes help government to make more revenue and are used as punitive measure to correct failure,1
Analyze how taxation could reduce market failure,"Monopolies may be taxed if they exploit their market power by charging high prices, Production and consumption that generates external costs may be taxed, this will turn an external cost into a private cost, increase costs of production reduce output, Tax revenue can be used to subsidise products with external benefits ",Government can address market failure through taxation of suppliers in the market. These taxes help to affect consumption and production pattern in the economy and assist to provide external benefits to members of the public.,3
Define a market,"An arrangement that brings buyers and sellers into contact / products are bought and sold, Buyers and sellers",Market is described as a place or arrangement for the exchange of goods and services. It describes a means of facilitating transactions between people,3
Define a market,"An arrangement that brings buyers and sellers into contact / products are bought and sold, Buyers and sellers",Market is a place where people meet to buy and trade goods.,1
Define a market,"An arrangement that brings buyers and sellers into contact / products are bought and sold, Buyers and sellers",Market is a place where buyer and sellers meet to exchange value.,2
Explain two reasons why the supply of a raw material such as oil may rise in the future.,"New supplies may be discovered after investment searching for Them, Price may rise giving suppliers a profit incentive to supply more, Advances in technology / cuts in wages may reduce costs of obtaining the raw material, Government subsidies providing finance to search for oil / greater incentive to increase output",Due to advanced technology which enables more output at less cost.  Increased supply from discovery of new source due to more investment spending in the field.,3
 Explain two reasons why the supply of a raw material such as oil may rise in the future.,"New supplies may be discovered after investment searching for Them, Price may rise giving suppliers a profit incentive to supply more, Advances in technology / cuts in wages may reduce costs of obtaining the raw material, Government subsidies providing finance to search for oil / greater incentive to increase output",Reduction in future cost from technology.Supply increase from new oil well,2
 Explain two reasons why the supply of a raw material such as oil may rise in the future.,"New supplies may be discovered after investment searching for Them, Price may rise giving suppliers a profit incentive to supply more, Advances in technology / cuts in wages may reduce costs of obtaining the raw material, Government subsidies providing finance to search for oil / greater incentive to increase output",Oil will continue to be relevant and because people demand for oil will surely grow in the future,1
Identify two types of business organisation that operate in the private sector.,"sole trader, public limited companies, cooperatives, multinationals",Dangote Plc and First Bank Holdings,1
Identify two types of business organisation that operate in the private sector.,"sole trader, public limited companies, cooperatives, multinationals",Two types of business organisation in private sector are sole proprietorship which is just one owner and a partnership business involving more than one owners,3
Identify two types of business organisation that operate in the private sector.,"sole trader, public limited companies, cooperatives, multinationals",Sole proprietor and public limited companies,2
Identify two methods of trade protection other than tariffs,"quotas, embargoes, voluntary export restraint, red tape / bureaucracy / artificially high standards, subsidies",Two method of trade protection other than tariff is quota which is limiting the amount of goods to be imported. Embargoes which totally stops import of certain goods into the country,3
Identify two methods of trade protection other than tariffs,"quotas, embargoes, voluntary export restraint, red tape / bureaucracy / artificially high standards, subsidies",Method of trade protection is closing border and declaring trade war.,1
Identify two methods of trade protection other than tariffs,"quotas, embargoes, voluntary export restraint, red tape / bureaucracy / artificially high standards, subsidies",Methods of trade protection are embargo and quota system.,2
two factors that influence an individual’s choice of occupation,"working hours / leisure time, holidays, job security / job insecurity, wages",The main factors that determine the choice of occupation of people is money they will make and how attractive the employer is.,1
two factors that influence an individual’s choice of occupation,"working hours / leisure time, holidays, job security / job insecurity, wages",Factors that determine choice of occupation is length of time on the job and security of job while at it.,2
two factors that influence an individual’s choice of occupation,"working hours / leisure time, holidays, job security / job insecurity, wages","Factors that will determine an individual choice of occupation is the length of time that it will take while doing the job. Another factor is extent of job security that is guaranteed when in the job. When there is high likelihood of job security, people are more likely to pick a particular job.",3
"Explain, using information from the extract, why the size of Japan’s population has fallen in recent years.","The birth rate has fallen (1) more than the fall in the death rate ,A fall in the birth rate means fewer children are being born, a reason e.g. more women working / people working longer hours / job insecurity /looking after elderly relatives , A fall in the death rate means people are living longer ,If the birth rate falls by more than the death rate there may be a natural decrease in population ,actual decrease if natural decrease is more than net immigration, extra number of older people is more than offset by fewer babies ",Japan population reduced due to fall in rate of birth.,2
