,Question,Marking Scheme,Student Response,Answer Rating,ms_le,st_le,ms_n_words,st_n_words,word_Common,word_Total,word_share,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
10,Describe how a public corporation differs from a public limited company.,A public corporation is state owned/in the public sector whereas a public limited company is owned by individuals/in the private sector.  A public limited company has shareholders whereas a public corporation does not. A public corporation seeks to provide a service/work in the public interest whereas a public limited company aims to maximize profit.,"Public corporation is a type of business organization that is wholly owned by the government. Government receives all profits and risks attached in this type of business While Public limited company is that which has a minimum of two shareholders and no maximum shareholder with shares publicly traded. In this type of business, shareholders take all profits and risks involved in this type of business",3,352,402,55,65,12.0,71.0,0.16901408450704225,21,100,9,57,7
11,Describe how a public corporation differs from a public limited company.,A public corporation is state owned/in the public sector whereas a public limited company is owned by individuals/in the private sector.  A public limited company has shareholders whereas a public corporation does not. A public corporation seeks to provide a service/work in the public interest whereas a public limited company aims to maximize profit.,Public corporation is a business organization owned by government while public limited company is a business set up to make profit by two or more people registered with shares publicly traded.,2,352,192,55,31,9.0,56.0,0.16071428571428573,45,100,46,56,46
12,Explain two factors that influence the size of a firm,"if demand is low, the size of the firm is likely to be small. a small firm may want to expand but may not be able to obtain a loan a public limited company is likely to be larger than a sole trader as it has more sources of Finance an entrepreneur may choose to keep the firm small in order to keep control/reduce stress.","Capital requirement: A company with high capital will be larger while a company with small capital will be smaller. Market size: When the market is big, the firm ought to be large as well and when market is small, the firm will be small",2,321,236,65,44,10.0,69.0,0.14492753623188406,29,100,38,53,12
13,Explain two factors that influence the size of a firm,"if demand is low, the size of the firm is likely to be small. a small firm may want to expand but may not be able to obtain a loan a public limited company is likely to be larger than a sole trader as it has more sources of Finance an entrepreneur may choose to keep the firm small in order to keep control/reduce stress.","Capital Requirement: When a company and product requires huge investment, this impacts size of the firm that will be set up. Capital intensive firms are usually much larger than less capital intensive firms. Market size: When a products market is large, this affects the type of firm that will be set up to meet demands of the consumers or customers and vice versa.",3,321,365,65,63,11.0,89.0,0.12359550561797752,18,100,31,34,10
14,Explain two factors that influence the size of a firm,"if demand is low, the size of the firm is likely to be small. a small firm may want to expand but may not be able to obtain a loan a public limited company is likely to be larger than a sole trader as it has more sources of Finance an entrepreneur may choose to keep the firm small in order to keep control/reduce stress.","With high capital, a company size will be bigger while with small capital, the size of company will be smaller. In addition, the bigger the market, the bigger the size of the firm.",1,321,180,65,33,8.0,61.0,0.13114754098360656,25,100,45,56,40
15,  What is the difference between absolute poverty and relative poverty?,"Absolute poverty involves a lack of basic necessities including food, housing and clothing. Relative poverty occurs when people have less income than other people in the country/unable to participate fully in the normal activities of their society","Absolute poverty refers to a condition where a person or household does not have minimum living requirement- food, housing and clothing- over an extended period of time. While Relative poverty refers to a condition where an individual or household is unable to partake in activities in the society due to income lower than general populace",3,247,339,37,55,16.0,74.0,0.21621621621621623,31,100,16,66,11
16, What is the difference between absolute poverty and relative poverty?,"Absolute poverty involves a lack of basic necessities including food, housing and clothing. Relative poverty occurs when people have less income than other people in the country/unable to participate fully in the normal activities of their society",Absolute poverty is the worst type of poverty in the society while relative poverty on the other hand is much better than absolute poverty.,1,247,139,37,24,9.0,50.0,0.18,44,100,61,73,54
17,What is the difference between absolute poverty and relative poverty?,"Absolute poverty involves a lack of basic necessities including food, housing and clothing. Relative poverty occurs when people have less income than other people in the country/unable to participate fully in the normal activities of their society","Absolute poverty means when an individual cannot afford food, clothes housing etc while relative poverty means when an individual cannot live like every other member of the society",2,247,180,37,28,10.0,54.0,0.18518518518518517,53,100,43,63,49
18,Explain two economic advantages of a fall in unemployment,more people in work will enable more products to be produced  might include a PPC with a movement from inside to on the curve more people in work will reduce those without an earned income and will raise tax revenue that might be spent on measures to reduce poverty extra tax revenue might be spent on a range of items including infrastructure and may reduce a budget deficit  less government spending on benefits might enable a government to cut tax rates or raise spending on another area.,"When people are less employed they can now produce more together. Due to less unemployment, the government worries less on certain payments which reduce burden.",2,492,160,89,25,8.0,78.0,0.10256410256410256,28,100,32,46,31
19,Explain two economic advantages of a fall in unemployment,more people in work will enable more products to be produced  might include a PPC with a movement from inside to on the curve more people in work will reduce those without an earned income and will raise tax revenue that might be spent on measures to reduce poverty extra tax revenue might be spent on a range of items including infrastructure and may reduce a budget deficit  less government spending on benefits might enable a government to cut tax rates or raise spending on another area.,"When unemployment reduces, there is increase in total production.When unemployment falls, government worries less on some money spent in the economy.",1,492,149,89,21,6.0,74.0,0.08108108108108109,38,100,30,40,29
20,Explain two economic advantages of a fall in unemployment,more people in work will enable more products to be produced  might include a PPC with a movement from inside to on the curve more people in work will reduce those without an earned income and will raise tax revenue that might be spent on measures to reduce poverty extra tax revenue might be spent on a range of items including infrastructure and may reduce a budget deficit  less government spending on benefits might enable a government to cut tax rates or raise spending on another area.," Increased Output: When there is less unemployment, there is more labour force to work on production process which increase output. Reduce Government Spending Burden: Government does not pay for unemployment benefit and this reduces government burden.",3,492,251,89,37,10.0,88.0,0.11363636363636363,12,100,13,50,13
21,Analyze how fiscal policy may reduce unemployment.,A cut in taxes may increase consumer spending/investment and so increase demand for labour. A rise in government spending will increase total (aggregate) demand which will increase demand for labour. Government spending may create jobs directly in the public sector.,"Through increased spending by government, there is reduced unemployment and through tax cuts there is more spending on investment and consumption which reduce unemployment.",2,266,172,40,24,3.0,45.0,0.06666666666666667,38,100,47,59,46
22, Analyze how fiscal policy may reduce unemployment., A cut in taxes may increase consumer spending/investment and so increase demand for labour. A rise in government spending will increase total (aggregate) demand which will increase demand for labour. Government spending may create jobs directly in the public sector.,Increase in government spending and reducing tax rate reduce unemployment.,1,267,74,41,10,5.0,37.0,0.13513513513513514,51,100,51,65,31
23,Analyze how fiscal policy may reduce unemployment.,A cut in taxes may increase consumer spending/investment and so increase demand for labour. A rise in government spending will increase total (aggregate) demand which will increase demand for labour. Government spending may create jobs directly in the public sector.,"Fiscal policy usually works through government spending and taxes. Through government spending on projects and activities, there is high demand for labour to meet up which reduces unemployment. Also, a fall in taxes rate help to increase spending and investment in the economy leading to more factories which lead to increased demand for labour.",3,266,345,40,54,12.0,67.0,0.1791044776119403,36,100,40,67,20
24,Discuss whether economic growth always results in higher living standards.,"how extra income is distributed, what type of products are being produced, whether working hours are increasing, whether working conditions are improving, whether higher output is leading to pollution and other environmental, damage, what is happening to the size of the informal sector, whether additional income is spent or saved.","Economic growth usually tend to result in higher living standard depending of goods produced in the economy, how incomes are distributed between income classes and how extra income is being managed.",3,332,198,50,31,11.0,64.0,0.171875,38,100,55,56,49
25, Discuss whether economic growth always results in higher living standards.,"how extra income is distributed, what type of products are being produced, whether working hours are increasing, whether working conditions are improving, whether higher output is leading to pollution and other environmental, damage, what is happening to the size of the informal sector, whether additional income is spent or saved.",Economic growth leads to higher standard of living depending on how different sectors of the economy is doing and how income is shared.,2,332,135,50,23,8.0,56.0,0.14285714285714285,36,100,40,43,38
26,Discuss whether economic growth always results in higher living standards.,"how extra income is distributed, what type of products are being produced, whether working hours are increasing, whether working conditions are improving, whether higher output is leading to pollution and other environmental, damage, what is happening to the size of the informal sector, whether additional income is spent or saved.",Economic growth will always lead to higher living standard in the economy because there is increased production and more income.,1,332,128,50,20,5.0,56.0,0.08928571428571429,36,100,32,46,40
27, Describe what is meant by a countrys inflation rate.,Percentage sustained rise in the price level/general price level over a given period of time ,Inflation rate is described as rate of change in prices from time to time,2,93,73,16,14,3.0,27.0,0.1111111111111111,40,100,39,45,41
28,Describe what is meant by a countrys inflation rate.,Percentage sustained rise in the price level/general price level over a given period of time ,Inflation rate is described as rate of general increase in price level over a given period of time. ,3,93,100,16,19,9.0,32.0,0.28125,68,100,66,77,62
29, Describe what is meant by a countrys inflation rate.,Percentage sustained rise in the price level/general price level over a given period of time ,Inflation rate is the rate at which prices go up in the economy.,1,93,64,16,13,2.0,26.0,0.07692307692307693,33,100,43,42,41
30,Explain the factors that influence a countrys birth rate,"average age of the population, proportion of women who work/enter higher education, age at which women marry, social status of women, cost of bringing up children, availability of family planning services, infant mortality rates, government encouragement or discouragement of large families, level of education, existence or absence of government support for sick and elderly, rate of unemployment.","Religious and social belief: Due to certain religious belief and social belief that exist in a country, people might be attracted to give birth to more children thereby affecting or increasing birth rate.Cost of bringing up children: When the cost of upbringing a child is expensive, people control how they give birth using controls which then reduce birth rate.Availability of family planning service: Presence or absence of family planning service helps to control the birth rate in the country.  ",3,398,500,57,81,13.0,100.0,0.13,35,100,6,45,3
31,Explain the factors that influence a countrys birth rate,"average age of the population, proportion of women who work/enter higher education, age at which women marry, social status of women, cost of bringing up children, availability of family planning services, infant mortality rates, government encouragement or discouragement of large families, level of education, existence or absence of government support for sick and elderly, rate of unemployment.","Birth rate can be affected due to poverty level in the country, employment level and social class in the society.",1,398,113,57,20,5.0,61.0,0.08196721311475409,30,100,40,41,21
32,Explain the factors that influence a countrys birth rate,"average age of the population, proportion of women who work/enter higher education, age at which women marry, social status of women, cost of bringing up children, availability of family planning services, infant mortality rates, government encouragement or discouragement of large families, level of education, existence or absence of government support for sick and elderly, rate of unemployment.","Religious and social belief: Religious belief in the country can affect birth rate in the country. Cost of bringing up children: Higher cost of upbringing children leads to low birth rate in the country.Availability of family planning service: When there is family planning, birth rate is put under control. ",2,398,308,57,50,11.0,80.0,0.1375,15,100,6,61,6
33,Discuss whether a country would benefit from lowering its school leaving age.,"would reduce the quality of the labour force/labour productivity, in the long run may decrease output, may discourage MNCs from setting up in the country, in the long run may reduce tax revenue, may reduce international competitiveness, may increase unemployment in older workers",The country benefit totally and citizens are able to sign up for job quicker than before,1,279,88,43,16,2.0,44.0,0.045454545454545456,25,100,35,27,23
34,Discuss whether a country would benefit from lowering its school leaving age.,"would reduce the quality of the labour force/labour productivity, in the long run may decrease output, may discourage MNCs from setting up in the country, in the long run may reduce tax revenue, may reduce international competitiveness, may increase unemployment in older workers","A country benefit or loss can be looked at from short-run and long-run. In the short-run, the country gains from increased labour force and government also saves cost from this policy. In the long-run, quality of labour falls which might affect output.",3,279,252,43,42,6.0,62.0,0.0967741935483871,17,100,37,54,2
35,Discuss whether a country would benefit from lowering its school leaving age.,"would reduce the quality of the labour force/labour productivity, in the long run may decrease output, may discourage MNCs from setting up in the country, in the long run may reduce tax revenue, may reduce international competitiveness, may increase unemployment in older workers",The country is able to able to save cost from the program and labour is increased during production process,2,279,107,43,19,3.0,43.0,0.06976744186046512,36,100,29,42,38
36,"Describe two aims of government economic policy, other than balance of payments stability","a government will seek to achieve as low unemployment as possible to ensure it is, making best use of resources, price stability can create certainty and encourage investment, economic growth has the potential to raise living standards, a redistribution of income from the rich to the poor may reduce poverty",Government policies are usually to address issues of unemployment.Another reason is to redistribute income among the people in the country. ,2,308,140,50,21,5.0,61.0,0.08196721311475409,39,100,47,49,48
37,"Describe two aims of government economic policy, other than balance of payments stability","a government will seek to achieve as low unemployment as possible to ensure it is, making best use of resources, price stability can create certainty and encourage investment, economic growth has the potential to raise living standards, a redistribution of income from the rich to the poor may reduce poverty",Government economic policy is usually to control of how people spend their money. Government policies also involve making people escape poverty in the society.,1,308,159,50,24,7.0,64.0,0.109375,34,100,50,51,46
38,"Describe two aims of government economic policy, other than balance of payments stability","a government will seek to achieve as low unemployment as possible to ensure it is, making best use of resources, price stability can create certainty and encourage investment, economic growth has the potential to raise living standards, a redistribution of income from the rich to the poor may reduce poverty",One other major aim of government economic policy is to help reduce the level of unemployment in the country and labour force. Another important aim of government s to ensure that there is proper redistribution of income among the wealthy class to the poor so as to reduce poverty rate in the country,3,308,300,50,53,14.0,79.0,0.17721518987341772,47,100,13,61,1
39,Explain why a country may have a trade in goods (visible trade) deficit but still have a current account surplus in its balance of payments,"Another component/components of the current account must have a surplus.  The surplus must be greater than the deficit on the trade in goods balance. Reference to another component/components i.e. trade in services (invisible balance), income and current transfers","Current account surplus will occur due to surplus contribution from invisible balance, income and current transfers",2,264,115,39,16,7.0,44.0,0.1590909090909091,58,100,52,80,51
40,Explain why a country may have a trade in goods (visible trade) deficit but still have a current account surplus in its balance of payments,"Another component/components of the current account must have a surplus.  The surplus must be greater than the deficit on the trade in goods balance. Reference to another component/components i.e. trade in services (invisible balance), income and current transfers","Current account balance usually consist of goods and services balance, the investment income balance and net transfer balance. When surplus from other components of the current account exceeds goods and service deficit, there will still be current account surplus in the balance of payment.",3,264,290,39,44,12.0,60.0,0.2,37,100,22,68,10
41,Explain why a country may have a trade in goods (visible trade) deficit but still have a current account surplus in its balance of payments,"Another component/components of the current account must have a surplus.  The surplus must be greater than the deficit on the trade in goods balance. Reference to another component/components i.e. trade in services (invisible balance), income and current transfers",Current surplus will occur due to more invisible component of current account balance.,1,264,86,39,13,6.0,42.0,0.14285714285714285,41,100,46,85,42
42,Analyze how a fall in a countrys exchange rate may reduce a current account deficit in its balance of payments,"Fall in the exchange rate will reduce export prices. Lower export prices may increase exports which may raise export revenue, fall in exchange rate will raise import prices, Higher import prices may reduce imports which may reduce import expenditure, Higher export revenue and lower import expenditure will improve the trade position.",Fall in exchange rate means the country currency has lost value so surplus might be hard to achieve.,1,334,100,51,18,5.0,46.0,0.10869565217391304,44,100,25,40,23
43,Analyze how a fall in a countrys exchange rate may reduce a current account deficit in its balance of payments,"Fall in the exchange rate will reduce export prices. Lower export prices may increase exports which may raise export revenue, fall in exchange rate will raise import prices, Higher import prices may reduce imports which may reduce import expenditure, Higher export revenue and lower import expenditure will improve the trade position.","When there is fall in the exchange rate of the country, there is more demand for the country goods while less of goods will be imported.",2,334,136,51,26,6.0,48.0,0.125,30,100,27,48,31
44,Analyze how a fall in a countrys exchange rate may reduce a current account deficit in its balance of payments,"Fall in the exchange rate will reduce export prices. Lower export prices may increase exports which may raise export revenue, fall in exchange rate will raise import prices, Higher import prices may reduce imports which may reduce import expenditure, Higher export revenue and lower import expenditure will improve the trade position.","When there is fall in exchange rate of an economy, there is fall in foreign price of its exports. As exports become more competitive, there is an increase in quantity of goods exported which reduces deficit.",3,334,207,51,36,7.0,54.0,0.12962962962962962,27,100,34,61,7
45,Discuss whether a government should protect its industries from foreign competition,"protect infant/sunrise industries, protect declining/sunset industries, protect strategic industries, improve current account position, protect employment, protect industries against unfair competition. reduce competition and so efficiency, reduce choice for consumers, may raise prices, may provoke retaliation.",Government should protect industries because it assists growing companies to settle and not be threatened by competition.Improves current account position by making more goods to be produced for necessary exports out of the company. Protecting industries may limit choice available to consumers in the market. Competition is also not encouraged which might reduce efficiency and development of products.,3,312,403,35,58,10.0,76.0,0.13157894736842105,4,100,10,65,9
46,Discuss whether a government should protect its industries from foreign competition,"protect infant/sunrise industries, protect declining/sunset industries, protect strategic industries, improve current account position, protect employment, protect industries against unfair competition. reduce competition and so efficiency, reduce choice for consumers, may raise prices, may provoke retaliation.","Through protection, infant industries are protected. There is also improved current account.",2,312,92,35,12,2.0,39.0,0.05128205128205128,18,100,42,54,39
47,Discuss whether a government should protect its industries from foreign competition,"protect infant/sunrise industries, protect declining/sunset industries, protect strategic industries, improve current account position, protect employment, protect industries against unfair competition. reduce competition and so efficiency, reduce choice for consumers, may raise prices, may provoke retaliation.","With government policies, people are protected and foreigners cannot take control.",1,312,82,35,11,1.0,38.0,0.02631578947368421,36,100,34,33,26
48, Identify two ways a government could encourage people to spend more.,"lower taxes, increase government spending / expansionary fiscal policy, increase money supply, reduce interest rates / expansionary monetary policy, raise subsidies",Monetary policy  Support Programs,1,164,33,21,5,1.0,22.0,0.045454545454545456,56,100,66,64,29
49, Identify two ways a government could encourage people to spend more.,"lower taxes, increase government spending / expansionary fiscal policy, increase money supply, reduce interest rates / expansionary monetary policy, raise subsidies","Important ways by which government can encourage people to spend more is by lowering tax rate, increasing government spending which stimulates people to spend more and by increasing money supply which makes more money stock available to people. ",3,164,245,21,39,3.0,43.0,0.06976744186046512,53,100,43,56,1
50, Identify two ways a government could encourage people to spend more.,"lower taxes, increase government spending / expansionary fiscal policy, increase money supply, reduce interest rates / expansionary monetary policy, raise subsidies","Tax cut ,Expansionary monetary policy",2,164,37,21,5,1.0,22.0,0.045454545454545456,81,100,58,88,34
51,Explain how the economic problem results in people having to make choices,"The economic problem is unlimited wants  but limited resources. As resources are limited, people cannot have everything they want / not everything can be produced / there is scarcity there is an opportunity cost","Economic problem arise from unlimited wants with very limited resources. Due to scarcity of resources, people have to make choice due to limited resources to satisfy unsatiable wants",3,211,182,35,28,10.0,52.0,0.19230769230769232,43,100,64,70,62
52,Explain how the economic problem results in people having to make choices,"The economic problem is unlimited wants  but limited resources. As resources are limited, people cannot have everything they want / not everything can be produced / there is scarcity there is an opportunity cost",Unlimited wants leads to people making choice due to their little resources at their disposal. ,2,211,95,35,16,5.0,44.0,0.11363636363636363,41,100,47,55,40
53,Explain how the economic problem results in people having to make choices,"The economic problem is unlimited wants  but limited resources. As resources are limited, people cannot have everything they want / not everything can be produced / there is scarcity there is an opportunity cost",Scarcity makes people to make choice they will not like .,1,211,57,35,11,4.0,41.0,0.0975609756097561,28,100,40,61,32
54,Analyse why deflation may cause a fall in output,"A fall in the price level may discourage spending / reduce total (aggregate) demand households waiting for prices to fall further the, fall in demand may reduce firms output, Deflation may reduce firms profits this may discourage investment, reduce demand for capital goods lower the output of capital goods","Due to fall in price, people wait and reduce their demand for the product which contribute to decrease in demand for such good. As demand falls, output also falls too",2,309,166,49,30,8.0,57.0,0.14035087719298245,40,100,48,56,52
55,Analyse why deflation may cause a fall in output,"A fall in the price level may discourage spending / reduce total (aggregate) demand households waiting for prices to fall further the, fall in demand may reduce firms output, Deflation may reduce firms profits this may discourage investment, reduce demand for capital goods lower the output of capital goods","When there is fall in prices, peoples expectations of a further fall increases which may lead to decreased spending and demand due to anticipated decrease in price. As demand falls, firms are left to reduce total output they make which discourages investment spending and demand for capital goods. ",3,309,298,49,49,14.0,72.0,0.19444444444444445,29,100,5,74,6
56,Analyse why deflation may cause a fall in output,"A fall in the price level may discourage spending / reduce total (aggregate) demand households waiting for prices to fall further the, fall in demand may reduce firms output, Deflation may reduce firms profits this may discourage investment, reduce demand for capital goods lower the output of capital goods","As general price level reduce, people choose to buy more of the goods which increased demand of such goods.",1,309,107,49,19,7.0,50.0,0.14,42,100,36,60,38
57,Explain two reasons why less-educated people tend to have a shorter life expectancy than people who have received more education,a lower income worse nutrition/healthcare/housing less well-informed less likely to eat healthily / more likely to have unhealthy habits ,Less educated people have shorter life expectancy because of bad healthcare habit and nutrition. Occupation less-educated people engage in is usually more intensive and risky than educated people.,3,137,196,20,28,3.0,42.0,0.07142857142857142,39,100,58,51,46
58,Explain two reasons why less-educated people tend to have a shorter life expectancy than people who have received more education,a lower income worse nutrition/healthcare/housing less well-informed less likely to eat healthily / more likely to have unhealthy habits ,Less educated people have poverty and they expose themselves to bad things than educated people,1,137,95,20,15,3.0,30.0,0.1,29,100,32,33,30
59,Explain two reasons why less-educated people tend to have a shorter life expectancy than people who have received more education,a lower income worse nutrition/healthcare/housing less well-informed less likely to eat healthily / more likely to have unhealthy habits ,Less-educated people tend to be less careful about their lifestyle and they also engage in menial jobs that can expose their lives to risk.,2,137,139,20,24,2.0,39.0,0.05128205128205128,25,100,43,40,43
60,Analyze how economic growth can reduce absolute poverty.,Economic growth is likely to increase employment (1) this may increase the chances of the poor gaining jobs raise income allow them to buy basic necessities / definition of absolute poverty. Economic growth can increase tax revenue this may enable the government to spend more to help the poor ,Through economic growth; there is possibility of employment opportunities which makes people gain incomes to satisfy basic needs of their life. Another way economic growth can reduce absolute poverty is through more tax revenue generation for government which enables support.,3,294,276,50,40,13.0,71.0,0.18309859154929578,43,100,48,59,5
61,Analyze how economic growth can reduce absolute poverty.,Economic growth is likely to increase employment (1) this may increase the chances of the poor gaining jobs raise income allow them to buy basic necessities / definition of absolute poverty. Economic growth can increase tax revenue this may enable the government to spend more to help the poor ,Economic growth will lead to improve living standards which enables people to provide for their basic needs and less dependent on government.,2,294,141,50,22,4.0,57.0,0.07017543859649122,41,100,41,49,44
62,Analyze how economic growth can reduce absolute poverty.,Economic growth is likely to increase employment (1) this may increase the chances of the poor gaining jobs raise income allow them to buy basic necessities / definition of absolute poverty. Economic growth can increase tax revenue this may enable the government to spend more to help the poor ,Economic growth will reduce all poverty in the country as the people now have much more money to spend in the economy.,1,294,118,50,22,6.0,55.0,0.10909090909090909,45,100,50,56,46
63,Identify two fixed costs,"rent, interest on past loans, insurance, salaries",Fixed cost are cost of setting up and some expenses that are fixed ,1,49,67,7,14,0.0,18.0,0.0,39,33,39,33,30
64,Identify two fixed costs,"rent, interest on past loans, insurance, salaries","Fixed costs include depreciation, rent",2,49,38,7,5,0.0,12.0,0.0,34,100,35,29,29
65,Identify two fixed costs,"rent, interest on past loans, insurance, salaries","Example of fixed costs include New buildings, rent to be paid, interest on loans to be paid and salaries",3,49,104,7,19,3.0,24.0,0.125,68,100,70,81,57
66,Explain two ways monopoly differs from perfect competition,"one supplier in monopoly many suppliers in perfect competition, a monopoly has 100% share of the market one perfectly competitive, firm will have a small share of the market, barriers to entry and exit in monopoly free entry and exit in perfect competition, a monopoly is a price maker while a perfectly competitive firm is a price taker, a monopolist may advertise no advertising in perfect competition there may be brand loyalty in monopoly but no attachment between, buyers and sellers in perfect competition there are no substitutes in a monopoly there are perfect substitutes in perfect competition.","One way monopoly differs from perfect competition is that in monopoly there is just one supplier who controls market and price goods can be sold. While in perfect competition, there are many buyers and sellers and the market forces control market and determine price. Another way is that in monopoly, there is no free entry and exit of new players as barriers to entry exist while in perfect competition there is free entry and exit of players as no barrier to entry exist in the market.",3,604,487,98,86,26.0,100.0,0.26,25,100,10,71,7
67,Explain two ways monopoly differs from perfect competition,"one supplier in monopoly many suppliers in perfect competition, a monopoly has 100% share of the market one perfectly competitive, firm will have a small share of the market, barriers to entry and exit in monopoly free entry and exit in perfect competition, a monopoly is a price maker while a perfectly competitive firm is a price taker, a monopolist may advertise no advertising in perfect competition there may be brand loyalty in monopoly but no attachment between, buyers and sellers in perfect competition there are no substitutes in a monopoly there are perfect substitutes in perfect competition.",In monopoly only a supplier is involved while in perfect competition it is not like that,1,604,88,98,16,8.0,66.0,0.12121212121212122,62,100,39,77,22
68,Explain two ways monopoly differs from perfect competition,"one supplier in monopoly many suppliers in perfect competition, a monopoly has 100% share of the market one perfectly competitive, firm will have a small share of the market, barriers to entry and exit in monopoly free entry and exit in perfect competition, a monopoly is a price maker while a perfectly competitive firm is a price taker, a monopolist may advertise no advertising in perfect competition there may be brand loyalty in monopoly but no attachment between, buyers and sellers in perfect competition there are no substitutes in a monopoly there are perfect substitutes in perfect competition.",There is only one supplier in monopoly and many sellers in perfect completion. No barrier to entry in perfect competition and there is barrier to entry in monopoly.,2,604,164,98,28,14.0,70.0,0.2,48,100,38,87,41
69,Analyze what determines a firms demand for labour,"Demand for the product demand for labour is a derived demand the higher the demand for the product, the more workers employed. Productivity / high skills / qualifications a rise in productivity will increase the return from employing labour / the higher skills the higher the demand, Wage rate a fall in the wage rate would be likely to increase the demand for labour. The price and productivity of substitutes to labour and complements to labour, Production method demand will be higher if production is labour intensive.","Demand for labour is usually determined by wage rate. The higher the wage rate, the lower the demand of labour that will be required. Another factor that determine demand for labour is marginal product of employing one more unit of labour. This enables the company to decide the optimal number of employees the company will require",3,522,331,87,56,15.0,81.0,0.18518518518518517,11,100,34,52,1
70,Analyze what determines a firms demand for labour,"Demand for the product demand for labour is a derived demand the higher the demand for the product, the more workers employed. Productivity / high skills / qualifications a rise in productivity will increase the return from employing labour / the higher skills the higher the demand, Wage rate a fall in the wage rate would be likely to increase the demand for labour. The price and productivity of substitutes to labour and complements to labour, Production method demand will be higher if production is labour intensive.",Demand for labour is determined by forces of demand and supply in the labour market,1,522,83,87,15,8.0,57.0,0.14035087719298245,53,100,41,66,24
71,Analyze what determines a firms demand for labour,"Demand for the product demand for labour is a derived demand the higher the demand for the product, the more workers employed. Productivity / high skills / qualifications a rise in productivity will increase the return from employing labour / the higher skills the higher the demand, Wage rate a fall in the wage rate would be likely to increase the demand for labour. The price and productivity of substitutes to labour and complements to labour, Production method demand will be higher if production is labour intensive.",Demand for labour is determined by wage rate and productivity of labour,2,522,71,87,12,9.0,55.0,0.16363636363636364,61,100,38,88,23
